episode,timestep,reward
1036,872000,106.6386
1039,874000,47.9124
1041,876000,5.3702
1043,878000,128.0402
1045,880000,123.7135
1047,882000,118.9776
1049,884000,108.997
1051,886000,105.2189
1054,888000,73.5346
1056,890000,109.0996
1058,892000,108.476
1060,894000,49.5198
1062,896000,115.8201
1064,898000,116.6946
1066,900000,113.3777
1068,902000,116.4785
1070,904000,127.5035
1072,906000,31.6448
1074,908000,116.4197
1076,910000,121.5512
1078,912000,115.3179
1080,914000,107.9641
1082,916000,119.4429
1084,918000,120.4631
1086,920000,97.0868
1088,922000,112.2398
1090,924000,107.5775
1092,926000,122.5024
1094,928000,108.001
1097,930000,43.4923
1099,932000,125.9075
1101,934000,44.3766
1103,936000,42.3807
1105,938000,46.2622
1107,940000,116.7566
1109,942000,113.5888
1111,944000,115.1916
1113,946000,125.5811
1115,948000,119.7019
1117,950000,112.7911
1119,952000,115.3395
1121,954000,109.7812
1124,956000,50.178
1126,958000,116.9521
1128,960000,119.1016
1130,962000,113.3196
1132,964000,25.3984
1134,966000,129.9452
1137,968000,39.3451
1139,970000,119.5854
1141,972000,119.5093
1143,974000,132.9741
1145,976000,115.1681
1148,978000,49.4397
1151,980000,57.8244
1153,982000,6.1624
1156,984000,48.5898
1158,986000,118.4301
1161,988000,43.4532
1163,990000,107.879
1165,992000,114.2999
1168,994000,39.9641
1170,996000,124.5296
1172,998000,128.4093
1175,1000000,-32.2579
1177,1002000,132.3086
1179,1004000,128.8844
1181,1006000,122.9623
1183,1008000,132.55
1185,1010000,126.0183
1187,1012000,125.5087
1189,1014000,130.1738
1191,1016000,127.0579
1193,1018000,126.3106
1195,1020000,142.1629
1197,1022000,131.4664
1199,1024000,139.9128
1201,1026000,136.7387
1203,1028000,128.113
1205,1030000,129.5884
1207,1032000,131.4513
1209,1034000,65.0429
1211,1036000,128.8352
1213,1038000,137.0465
1215,1040000,136.4242
1217,1042000,138.601
1219,1044000,126.7181
1221,1046000,128.5528
1223,1048000,129.2709
1225,1050000,144.2589
1227,1052000,137.2446
1230,1054000,62.9974
1233,1056000,66.324
1235,1058000,49.1168
1237,1060000,31.2999
1239,1062000,131.2457
1241,1064000,123.6566
1243,1066000,120.7161
1247,1068000,15.5014
1249,1070000,134.8761
1251,1072000,139.2941
